FSA_STATE,PASTURE_TYPE,GROWING_SEASON_START,GROWING_SEASON_END,PROGRAM_YEAR
29-MO,FULL SEASON IMPROVED,04-03,11-17,"2018, 2020, 2022"
29-MO,LONG SEASON SMALL GRAINS,11-03,04-03,2018
29-MO,NATIVE PASTURE,03-17,11-17,"2018, 2020, 2022"
29-MO,NATIVE PASTURE,03-17,12-02,2022
29-MO,NATIVE PASTURE,04-03,11-02,2018
29-MO,NATIVE PASTURE,04-03,11-17,"2018, 2020, 2022"
30-MT,FORAGE SORGHUM,05-03,11-17,"2017, 2020, 2021, 2022"
30-MT,FORAGE SORGHUM,05-03,12-03,"2017, 2020, 2021, 2022"
30-MT,FORAGE SORGHUM,05-17,11-17,"2017, 2021, 2022"
30-MT,FULL SEASON IMPROVED,05-03,10-17,2021
30-MT,FULL SEASON IMPROVED,05-03,11-02,2022
30-MT,FULL SEASON IMPROVED,05-03,11-17,"2017, 2018, 2020, 2021, 2022"
30-MT,FULL SEASON IMPROVED,05-03,12-02,"2017, 2021, 2022"
30-MT,FULL SEASON IMPROVED,05-03,12-03,"2017, 2020, 2021, 2022"
30-MT,FULL SEASON IMPROVED,05-03,12-17,"2017, 2020, 2021, 2022"
30-MT,FULL SEASON IMPROVED,05-07,10-22,"2021, 2022"
30-MT,FULL SEASON IMPROVED,05-12,12-02,"2017, 2021, 2022"
30-MT,FULL SEASON IMPROVED,05-17,01-02,2017
30-MT,FULL SEASON IMPROVED,05-17,11-02,"2021, 2022"
30-MT,FULL SEASON IMPROVED,05-17,11-03,2021
30-MT,FULL SEASON IMPROVED,05-17,11-17,"2017, 2021, 2022"
30-MT,FULL SEASON IMPROVED,05-17,12-02,"2017, 2021"
30-MT,FULL SEASON IMPROVED,05-17,12-03,"2017, 2022"
30-MT,FULL SEASON IMPROVED,05-17,12-17,"2021, 2022"
30-MT,FULL SEASON IMPROVED,05-25,12-15,2015
30-MT,FULL SEASON IMPROVED,05-27,10-17,2021
30-MT,FULL SEASON IMPROVED,05-27,10-22,2021
30-MT,FULL SEASON IMPROVED,05-27,11-16,"2021, 2022"
30-MT,FULL SEASON IMPROVED,05-27,12-17,2017
30-MT,FULL SEASON IMPROVED,06-03,11-17,"2017, 2018, 2021"
30-MT,FULL SEASON IMPROVED,06-03,12-17,"2021, 2022"
30-MT,IMPROVED PASTURE,05-25,12-15,"2012, 2013"
30-MT,LONG SEASON SMALL GRAINS,05-03,10-17,2021
30-MT,LONG SEASON SMALL GRAINS,05-03,11-17,"2017, 2018, 2020, 2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-03,12-02,"2017, 2020, 2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-03,12-03,"2017, 2020, 2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-03,12-17,"2017, 2020, 2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-07,10-22,"2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-12,12-02,"2017, 2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-17,01-02,"2017, 2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-17,11-03,2021
30-MT,LONG SEASON SMALL GRAINS,05-17,11-17,"2017, 2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-17,12-02,"2017, 2021"
30-MT,LONG SEASON SMALL GRAINS,05-17,12-03,"2017, 2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-17,12-17,"2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-25,12-15,"2012, 2013, 2015"
30-MT,LONG SEASON SMALL GRAINS,05-27,10-17,2021
30-MT,LONG SEASON SMALL GRAINS,05-27,10-22,"2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-27,11-16,"2021, 2022"
30-MT,LONG SEASON SMALL GRAINS,05-27,12-17,2017
30-MT,LONG SEASON SMALL GRAINS,06-03,11-17,"2017, 2018, 2021"
30-MT,LONG SEASON SMALL GRAINS,06-03,12-17,"2021, 2022"
30-MT,NATIVE PASTURE,05-03,10-17,2021
30-MT,NATIVE PASTURE,05-03,11-02,2022
30-MT,NATIVE PASTURE,05-03,11-17,"2017, 2018, 2020, 2021, 2022"
30-MT,NATIVE PASTURE,05-03,12-02,"2017, 2021, 2022"
30-MT,NATIVE PASTURE,05-03,12-03,"2017, 2020, 2021, 2022"
30-MT,NATIVE PASTURE,05-03,12-17,"2017, 2020, 2021, 2022"
30-MT,NATIVE PASTURE,05-07,10-22,"2021, 2022"
30-MT,NATIVE PASTURE,05-12,12-02,"2017, 2021, 2022"
30-MT,NATIVE PASTURE,05-17,01-02,2017
30-MT,NATIVE PASTURE,05-17,11-02,"2021, 2022"
30-MT,NATIVE PASTURE,05-17,11-03,2021
30-MT,NATIVE PASTURE,05-17,11-17,"2017, 2021, 2022"
30-MT,NATIVE PASTURE,05-17,12-02,"2017, 2021"
30-MT,NATIVE PASTURE,05-17,12-03,"2017, 2022"
30-MT,NATIVE PASTURE,05-17,12-17,"2021, 2022"
30-MT,NATIVE PASTURE,05-25,12-15,"2012, 2013, 2015"
30-MT,NATIVE PASTURE,05-27,10-17,2021
30-MT,NATIVE PASTURE,05-27,10-22,2021
30-MT,NATIVE PASTURE,05-27,11-16,"2021, 2022"
30-MT,NATIVE PASTURE,05-27,12-17,2017
30-MT,NATIVE PASTURE,06-03,11-17,"2017, 2018, 2021"
30-MT,NATIVE PASTURE,06-03,12-17,"2021, 2022"
31-NE,FORAGE SORGHUM,07-03,09-17,"2020, 2021, 2022"
31-NE,FULL SEASON IMPROVED,05-03,10-17,"2020, 2021, 2022"
31-NE,LONG SEASON SMALL GRAINS,04-03,06-01,2022
31-NE,NATIVE PASTURE,05-03,10-17,"2020, 2021, 2022"
32-NV,FULL SEASON IMPROVED,01-17,01-02,"2018, 2019, 2020, 2021, 2022"
32-NV,FULL SEASON IMPROVED,01-17,11-17,"2020, 2021, 2022"
32-NV,FULL SEASON IMPROVED,04-03,11-17,"2020, 2021, 2022"
32-NV,FULL SEASON IMPROVED,04-17,11-17,"2020, 2021, 2022"
32-NV,FULL SEASON IMPROVED,05-20,11-15,"2015, 2016"
32-NV,FULL SEASON IMPROVED,05-22,11-17,"2018, 2020, 2021, 2022"
32-NV,FULL SEASON IMPROVED,06-19,11-15,2015
32-NV,FULL SEASON IMPROVED,06-20,11-15,2015
32-NV,FULL SEASON IMPROVED,06-21,11-17,"2018, 2020, 2021, 2022"
32-NV,FULL SEASON IMPROVED,06-22,11-17,"2020, 2021, 2022"
32-NV,FULL SEASON IMPROVED,07-16,11-15,"2015, 2016"
32-NV,IMPROVED PASTURE,05-20,11-15,"2012, 2013, 2014"
32-NV,IMPROVED PASTURE,06-19,11-15,"2012, 2013, 2014"
32-NV,IMPROVED PASTURE,06-20,11-15,"2012, 2013, 2014"
32-NV,IMPROVED PASTURE,07-16,11-15,"2012, 2013, 2014"
32-NV,LONG SEASON SMALL GRAINS,05-20,11-15,"2012, 2013, 2014, 2015, 2016"
32-NV,LONG SEASON SMALL GRAINS,05-22,11-17,"2018, 2020, 2021, 2022"
32-NV,NATIVE PASTURE,01-03,01-02,"2017, 2018, 2019, 2020, 2021, 2022"
32-NV,NATIVE PASTURE,02-20,11-15,"2012, 2013, 2014, 2015, 2016"
32-NV,NATIVE PASTURE,04-03,10-17,"2021, 2022"
32-NV,NATIVE PASTURE,04-17,11-17,"2020, 2021, 2022"
32-NV,NATIVE PASTURE,05-20,11-15,"2012, 2013, 2014, 2015, 2016"
33-NH,FORAGE SORGHUM,04-17,11-02,"2020, 2021, 2022"
33-NH,FORAGE SORGHUM,04-25,10-20,2016
33-NH,FULL SEASON IMPROVED,04-17,11-02,"2020, 2021, 2022"
33-NH,FULL SEASON IMPROVED,04-25,10-20,2016
33-NH,LONG SEASON SMALL GRAINS,04-25,10-20,2016
33-NH,LONG SEASON SMALL GRAINS,04-27,10-22,"2020, 2021, 2022"
33-NH,NATIVE PASTURE,04-17,11-02,"2020, 2021, 2022"
33-NH,NATIVE PASTURE,04-25,10-20,2016
34-NJ,FULL SEASON IMPROVED,04-03,11-02,2022
34-NJ,NATIVE PASTURE,04-03,11-02,2022
35-NM,FORAGE SORGHUM,07-17,08-17,"2018, 2021"
35-NM,FORAGE SORGHUM,07-17,10-17,"2018, 2020, 2021, 2022"
35-NM,FORAGE SORGHUM,07-17,11-17,"2018, 2020, 2021, 2022"
35-NM,FORAGE SORGHUM,09-03,11-17,"2018, 2019, 2020, 2021, 2022"
35-NM,FULL SEASON IMPROVED,03-17,11-17,"2018, 2020, 2021, 2022"
35-NM,FULL SEASON IMPROVED,04-03,11-17,"2018, 2020, 2021, 2022"
35-NM,FULL SEASON IMPROVED,04-17,11-02,"2018, 2020, 2021, 2022"
35-NM,FULL SEASON IMPROVED,05-03,10-17,"2018, 2020, 2021, 2022"
35-NM,LONG SEASON SMALL GRAINS,11-03,06-03,"2018, 2019, 2020, 2021, 2022"
35-NM,NATIVE PASTURE,01-03,01-02,"2018, 2019, 2020, 2021, 2022"
35-NM,NATIVE PASTURE,03-03,01-02,2018
35-NM,SHORT SEASON SMALL GRAINS,11-03,03-03,"2018, 2019, 2020"
35-NM,SHORT SEASON SMALL GRAINS,11-03,03-17,"2018, 2019, 2020, 2021, 2022"
36-NY,FORAGE SORGHUM,06-10,10-15,2016
36-NY,FORAGE SORGHUM,07-03,10-17,"2020, 2022"
36-NY,FULL SEASON IMPROVED,04-22,11-12,"2020, 2022"
36-NY,NATIVE PASTURE,04-22,11-12,"2020, 2022"
37-NC,FORAGE SORGHUM,05-17,10-03,2022
37-NC,FULL SEASON IMPROVED,03-17,12-02,2022
37-NC,LONG SEASON SMALL GRAINS,11-03,06-03,"2017, 2022"
37-NC,NATIVE PASTURE,03-17,12-02,2022
38-ND,FORAGE SORGHUM,07-17,09-29,"2017, 2018, 2021"
38-ND,FULL SEASON IMPROVED,04-17,10-17,"2018, 2020, 2021, 2022"
38-ND,FULL SEASON IMPROVED,05-17,11-11,2017
38-ND,LONG SEASON SMALL GRAINS,07-17,08-30,"2017, 2021"
38-ND,NATIVE PASTURE,04-17,10-17,"2018, 2020, 2021, 2022"
38-ND,NATIVE PASTURE,05-17,11-11,2017
40-OK,ANNUAL CRABGRASS,04-03,11-02,"2018, 2020, 2021, 2022"
40-OK,ANNUAL CRABGRASS,04-17,11-16,"2018, 2019, 2020, 2021, 2022"
40-OK,ANNUAL RYEGRASS,10-16,04-14,"2012, 2013, 2014"
40-OK,ANNUAL RYEGRASS,11-03,04-02,"2018, 2020, 2021, 2022"
40-OK,ANNUAL RYEGRASS,11-17,04-16,"2017, 2018, 2020, 2021, 2022"
40-OK,COOL SEASON IMPROVED,11-03,04-02,"2018, 2020, 2021, 2022"
40-OK,COOL SEASON IMPROVED,11-17,04-16,"2017, 2018, 2020, 2021, 2022"
40-OK,FORAGE SORGHUM,07-03,11-02,"2018, 2020, 2021, 2022"
40-OK,FORAGE SORGHUM,07-17,11-16,"2018, 2019, 2020, 2021, 2022"
40-OK,LONG SEASON SMALL GRAINS,11-17,05-17,"2017, 2018, 2020, 2021, 2022"
40-OK,NATIVE PASTURE,04-03,11-02,"2018, 2020, 2021, 2022"
40-OK,NATIVE PASTURE,04-17,11-16,"2018, 2019, 2020, 2021, 2022"
40-OK,SHORT SEASON SMALL GRAINS,11-17,03-17,"2017, 2018, 2020, 2021"
40-OK,SHORT SSN SPRING SML GRN,03-18,05-17,"2020, 2021, 2022"
40-OK,SHRT SSN FALL_WTR SML GRN,11-17,03-17,"2021, 2022"
40-OK,WARM SEASON IMPROVED,04-03,11-02,"2018, 2020, 2021, 2022"
40-OK,WARM SEASON IMPROVED,04-17,11-16,"2018, 2019, 2020, 2021, 2022"
41-OR,ANNUAL RYEGRASS,02-17,08-02,"2019, 2020, 2021, 2022"
41-OR,ANNUAL RYEGRASS,03-03,08-02,"2020, 2021"
41-OR,FORAGE SORGHUM,04-05,09-01,"2020, 2021, 2022"
41-OR,FULL SEASON IMPROVED,01-03,01-02,"2018, 2020, 2021, 2022"
41-OR,FULL SEASON IMPROVED,01-17,01-02,"2018, 2020, 2021, 2022"
41-OR,FULL SEASON IMPROVED,02-03,12-17,"2018, 2020, 2021"
41-OR,FULL SEASON IMPROVED,02-17,12-02,"2018, 2020, 2021"
41-OR,FULL SEASON IMPROVED,02-17,12-17,"2018, 2019, 2020, 2021, 2022"
41-OR,FULL SEASON IMPROVED,03-02,10-31,2016
41-OR,FULL SEASON IMPROVED,03-03,12-02,"2018, 2020, 2021"
41-OR,FULL SEASON IMPROVED,03-17,11-17,"2018, 2020, 2021, 2022"
41-OR,FULL SEASON IMPROVED,03-17,12-02,"2021, 2022"
41-OR,FULL SEASON IMPROVED,04-02,10-31,2016
41-OR,FULL SEASON IMPROVED,04-03,11-02,"2018, 2020, 2021, 2022"
41-OR,FULL SEASON IMPROVED,04-03,12-02,"2021, 2022"
41-OR,FULL SEASON IMPROVED,04-17,10-17,"2018, 2020, 2021, 2022"
41-OR,FULL SEASON IMPROVED,04-17,11-02,"2018, 2020, 2021, 2022"
41-OR,FULL SEASON IMPROVED,05-03,10-02,"2018, 2020"
41-OR,FULL SEASON IMPROVED,05-03,10-17,"2018, 2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,03-06,07-03,"2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,03-17,09-02,"2018, 2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,03-17,09-03,"2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,04-03,06-17,"2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,04-03,09-01,"2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,04-03,09-02,"2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,04-17,08-17,"2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,04-17,09-17,"2018, 2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,04-17,11-17,"2018, 2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,04-18,08-17,2021
41-OR,LONG SEASON SMALL GRAINS,04-20,08-17,"2018, 2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,05-03,06-03,2022
41-OR,LONG SEASON SMALL GRAINS,05-19,07-17,"2020, 2021"
41-OR,LONG SEASON SMALL GRAINS,06-05,09-17,"2018, 2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,06-17,08-07,2021
41-OR,LONG SEASON SMALL GRAINS,06-17,09-17,"2018, 2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,06-17,10-17,"2018, 2020, 2021, 2022"
41-OR,LONG SEASON SMALL GRAINS,09-03,12-02,"2018, 2020, 2021, 2022"
41-OR,NATIVE PASTURE,01-03,01-02,"2018, 2020, 2021, 2022"
41-OR,NATIVE PASTURE,01-17,01-02,"2018, 2020, 2021, 2022"
41-OR,NATIVE PASTURE,02-03,12-17,"2018, 2020, 2021"
41-OR,NATIVE PASTURE,02-17,12-02,"2018, 2020, 2021"
41-OR,NATIVE PASTURE,02-17,12-17,"2018, 2019, 2020, 2021, 2022"
41-OR,NATIVE PASTURE,03-03,12-02,"2018, 2020, 2021"
41-OR,NATIVE PASTURE,03-17,11-17,"2018, 2020, 2021, 2022"
41-OR,NATIVE PASTURE,03-17,12-02,"2021, 2022"
41-OR,NATIVE PASTURE,04-03,11-02,"2018, 2020, 2021, 2022"
41-OR,NATIVE PASTURE,04-03,12-02,"2021, 2022"
41-OR,NATIVE PASTURE,04-17,10-17,"2018, 2020, 2021, 2022"
41-OR,NATIVE PASTURE,04-17,11-02,"2018, 2020, 2021, 2022"
41-OR,NATIVE PASTURE,05-03,10-02,"2018, 2020"
41-OR,NATIVE PASTURE,05-03,10-17,"2018, 2020, 2021, 2022"
44-RI,FULL SEASON IMPROVED,04-03,11-02,"2020, 2022"
44-RI,FULL SEASON IMPROVED,04-03,11-17,"2020, 2022"
44-RI,NATIVE PASTURE,04-03,11-02,"2020, 2022"
44-RI,NATIVE PASTURE,04-03,11-17,"2020, 2022"
45-SC,FORAGE SORGHUM,04-17,10-17,"2019, 2022"
45-SC,FULL SEASON IMPROVE MIXED,11-17,11-16,"2019, 2022"
45-SC,FULL SEASON IMPROVED,03-03,12-02,"2019, 2022"
45-SC,FULL SEASON IMPROVED,03-04,10-30,2015
45-SC,FULL SEASON IMPROVED,03-04,12-01,2016
45-SC,FULL SEASON IMPROVED,03-06,12-03,2017
45-SC,FULL SEASON IMPROVED,03-17,11-17,2019
45-SC,IMPROVED PASTURE,03-04,10-30,2012
45-SC,LONG SEASON SMALL GRAINS,11-02,05-01,"2012, 2013"
45-SC,LONG SEASON SMALL GRAINS,11-04,05-03,"2017, 2020"
45-SC,NATIVE PASTURE,03-03,12-02,"2019, 2022"
45-SC,NATIVE PASTURE,03-17,11-17,2019
45-SC,NATIVE PASTURE,04-03,10-30,"2012, 2015, 2016"
45-SC,NATIVE PASTURE,04-05,11-01,2017
46-SD,FORAGE SORGHUM,07-17,10-02,"2017, 2020, 2021, 2022"
46-SD,FULL SEASON IMPROVED,04-17,10-17,2022
46-SD,FULL SEASON IMPROVED,05-03,10-17,"2018, 2020, 2021"
46-SD,FULL SEASON IMPROVED,05-03,11-02,2017
46-SD,LONG SEASON SMALL GRAINS,04-17,10-17,2022
46-SD,LONG SEASON SMALL GRAINS,05-03,10-17,"2020, 2021"
46-SD,LONG SEASON SMALL GRAINS,05-17,11-02,"2017, 2018"
46-SD,NATIVE PASTURE,04-17,10-17,2022
46-SD,NATIVE PASTURE,05-03,10-17,"2018, 2020, 2021"
46-SD,NATIVE PASTURE,05-03,11-02,2017
47-TN,FORAGE SORGHUM,06-16,10-15,"2012, 2016"
47-TN,FORAGE SORGHUM,06-18,10-17,"2019, 2022"
47-TN,FULL SEASON IMPROVED,03-17,12-01,2016
47-TN,FULL SEASON IMPROVED,03-19,12-03,"2017, 2019, 2022"
47-TN,IMPROVED PASTURE,03-17,10-31,2012
47-TN,LONG SEASON SMALL GRAINS,11-17,04-02,2017
47-TN,NATIVE PASTURE,04-30,09-01,"2012, 2016"
47-TN,NATIVE PASTURE,05-02,09-03,2022
48-TX,ANNUAL RYEGRASS,01-03,06-03,"2017, 2018, 2022"
48-TX,ANNUAL RYEGRASS,01-17,05-02,"2018, 2020, 2021, 2022"
48-TX,ANNUAL RYEGRASS,01-17,05-17,"2020, 2021, 2022"
48-TX,ANNUAL RYEGRASS,01-17,06-02,"2020, 2021, 2022"
48-TX,ANNUAL RYEGRASS,01-17,06-17,"2018, 2020, 2021, 2022"
48-TX,ANNUAL RYEGRASS,02-03,05-17,"2018, 2020, 2022"
48-TX,ANNUAL RYEGRASS,02-03,06-02,"2018, 2020, 2021, 2022"
48-TX,ANNUAL RYEGRASS,02-03,06-17,2022
48-TX,ANNUAL RYEGRASS,02-17,05-02,"2021, 2022"
48-TX,ANNUAL RYEGRASS,02-17,05-17,"2021, 2022"
48-TX,ANNUAL RYEGRASS,02-17,06-02,"2021, 2022"
48-TX,ANNUAL RYEGRASS,02-17,06-17,"2018, 2021, 2022"
48-TX,ANNUAL RYEGRASS,03-03,05-02,"2021, 2022"
48-TX,ANNUAL RYEGRASS,03-03,05-17,"2021, 2022"
48-TX,ANNUAL RYEGRASS,03-03,06-02,"2018, 2021, 2022"
48-TX,ANNUAL RYEGRASS,03-03,06-17,"2021, 2022"
48-TX,ANNUAL RYEGRASS,03-17,06-02,"2021, 2022"
48-TX,ANNUAL RYEGRASS,03-17,06-17,"2018, 2021, 2022"
48-TX,ANNUAL RYEGRASS,04-03,06-17,"2018, 2020, 2021, 2022"
48-TX,FORAGE SORGHUM,05-03,09-02,"2018, 2019, 2020, 2021, 2022"
48-TX,FORAGE SORGHUM,07-03,11-02,"2018, 2019, 2020, 2021, 2022"
48-TX,FULL SEASON IMPROVED,01-03,01-02,"2017, 2018, 2019, 2020, 2021, 2022"
48-TX,LONG SEASON SMALL GRAINS,11-03,06-03,"2017, 2018, 2020, 2021, 2022"
48-TX,NATIVE PASTURE,01-03,01-02,"2017, 2018, 2019, 2020, 2021, 2022"
48-TX,SHORT SEASON SMALL GRAINS,11-03,02-17,"2020, 2021, 2022"
48-TX,SHORT SEASON SMALL GRAINS,11-03,03-03,"2017, 2018, 2020, 2021, 2022"
48-TX,SHORT SEASON SMALL GRAINS,11-03,03-17,"2018, 2020, 2021, 2022"
48-TX,SHORT SEASON SMALL GRAINS,11-03,04-03,"2018, 2020, 2021, 2022"
48-TX,SHORT SSN SPRING SML GRN,11-17,06-03,"2020, 2021, 2022"
48-TX,SHRT SSN FALL_WTR SML GRN,11-17,02-17,"2020, 2021, 2022"
48-TX,SHRT SSN FALL_WTR SML GRN,11-17,03-03,"2020, 2021, 2022"
48-TX,SHRT SSN FALL_WTR SML GRN,11-17,03-17,"2020, 2021, 2022"
48-TX,SHRT SSN FALL_WTR SML GRN,11-17,04-03,"2020, 2021, 2022"
49-UT,FULL SEASON IMPROVED,03-17,11-17,"2018, 2020, 2021, 2022"
49-UT,FULL SEASON IMPROVED,04-03,11-02,"2018, 2020, 2021, 2022"
49-UT,FULL SEASON IMPROVED,04-17,10-17,"2018, 2020, 2021, 2022"
49-UT,FULL SEASON IMPROVED,04-17,11-02,"2018, 2020, 2021, 2022"
49-UT,FULL SEASON IMPROVED,05-03,10-02,"2018, 2020, 2021, 2022"
49-UT,FULL SEASON IMPROVED,05-03,10-17,"2018, 2020, 2021, 2022"
49-UT,FULL SEASON IMPROVED,05-16,10-31,"2015, 2016"
49-UT,FULL SEASON IMPROVED,09-03,05-05,2017
49-UT,IMPROVED PASTURE,05-16,10-31,"2012, 2014"
49-UT,NATIVE PASTURE,01-03,01-02,"2019, 2020, 2021, 2022"
49-UT,NATIVE PASTURE,03-17,11-17,"2018, 2020, 2021, 2022"
49-UT,NATIVE PASTURE,04-03,11-02,"2018, 2020, 2021, 2022"
49-UT,NATIVE PASTURE,04-17,10-17,"2018, 2020, 2021, 2022"
49-UT,NATIVE PASTURE,04-17,11-02,"2018, 2020, 2021, 2022"
49-UT,NATIVE PASTURE,05-03,10-02,"2018, 2020, 2021, 2022"
49-UT,NATIVE PASTURE,05-03,10-17,"2018, 2020, 2021, 2022"
49-UT,NATIVE PASTURE,05-16,10-31,"2012, 2014, 2015, 2016"
53-WA,FULL SEASON IMPROVED,03-17,11-02,"2020, 2021, 2022"
53-WA,FULL SEASON IMPROVED,03-17,11-17,"2018, 2019, 2020, 2021, 2022"
53-WA,FULL SEASON IMPROVED,04-03,10-17,2021
53-WA,FULL SEASON IMPROVED,04-03,11-02,"2018, 2020, 2021, 2022"
53-WA,FULL SEASON IMPROVED,04-03,12-02,2021
53-WA,FULL SEASON IMPROVED,04-17,10-17,"2021, 2022"
53-WA,NATIVE PASTURE,03-17,11-02,"2020, 2021, 2022"
53-WA,NATIVE PASTURE,03-17,11-17,"2019, 2020, 2021, 2022"
53-WA,NATIVE PASTURE,04-03,10-17,2021
53-WA,NATIVE PASTURE,04-03,11-02,"2018, 2020, 2021, 2022"
53-WA,NATIVE PASTURE,04-17,10-17,"2021, 2022"
55-WI,FORAGE SORGHUM,07-16,11-02,2021
55-WI,FORAGE SORGHUM,07-17,10-17,2021
55-WI,FULL SEASON IMPROVED,04-22,11-02,2021
55-WI,FULL SEASON IMPROVED,05-03,10-17,2021
55-WI,IMPROVED PASTURE,04-20,10-15,2012
55-WI,NATIVE PASTURE,04-20,10-15,2012
55-WI,NATIVE PASTURE,04-22,11-02,2021
55-WI,NATIVE PASTURE,05-03,10-17,2021
56-WY,FORAGE SORGHUM,05-03,10-02,"2018, 2020, 2021, 2022"
56-WY,FORAGE SORGHUM,05-03,10-17,2017
56-WY,FULL SEASON IMPROVED,04-03,10-17,2017
56-WY,FULL SEASON IMPROVED,04-17,10-17,"2020, 2021, 2022"
56-WY,FULL SEASON IMPROVED,05-03,10-02,"2018, 2020, 2021, 2022"
56-WY,FULL SEASON IMPROVED,05-03,10-17,"2020, 2021, 2022"
56-WY,FULL SEASON IMPROVED,05-17,10-02,"2018, 2020, 2021, 2022"
56-WY,FULL SEASON IMPROVED,05-17,10-17,"2021, 2022"
56-WY,NATIVE PASTURE,01-03,01-02,"2020, 2021, 2022"
56-WY,NATIVE PASTURE,04-03,10-17,2017
56-WY,NATIVE PASTURE,05-03,10-02,"2018, 2021, 2022"
56-WY,NATIVE PASTURE,05-03,10-17,"2021, 2022"
56-WY,NATIVE PASTURE,05-17,10-02,2018
56-WY,NATIVE PASTURE,05-17,10-17,"2021, 2022"
56-WY,SHORT SEASON SMALL GRAINS,05-03,10-02,"2021, 2022"
56-WY,SHORT SEASON SMALL GRAINS,05-03,10-17,"2021, 2022"
72-PR,FORAGE SORGHUM,01-03,01-02,"2019, 2020"
72-PR,FULL SEASON IMPROVED,01-03,01-02,"2019, 2020"
72-PR,LONG SEASON SMALL GRAINS,01-03,01-02,"2019, 2020"
72-PR,NATIVE PASTURE,01-03,01-02,"2019, 2020"
